IsActive,Number,Name,Date,Notes,Barcode,ArticleAccountCoding,Unit,NetPrice,EU,stock,PurchasePrice,StockBalance,price_with_taxes,price_with_taxes (-20%)
TRUE,DK10311,(RV-306A) - Drivaksel,1633427540,,,90,PCE,,83,2,896.4,,2990,2392
TRUE,DK10314,(CT-206A) - Drivaksel høyre,1633427541,,,90,PCE,,50,2,540,,1499,1199.2
TRUE,DK10316,(CT-223) - Drivaksel høyre,1633427542,,,90,PCE,,67,2,723.6,,2150,1720
TRUE,DK10318,(CT-107) - Drivaksel venstre,1633427543,,,90,PCE,,36,2,388.8,,1138,910.4
TRUE,DK10323,(CT-128) - Drivaksel venstre,1633427544,,,90,PCE,,87,2,939.6,,2900,2320
TRUE,DK10328,(CT-207) - Drivaksel høyre,1633427545,,,90,PCE,,38,2,410.4,,1250,1000
TRUE,DK10330,(CT-270) - Drivaksel høyre,1633427546,,,90,PCE,,93,2,1004.4,,2350,1880
TRUE,DK10334," Drivaksel Bmw, Framaksel venstre",1633427547,,,90,PCE,0,75,2,810,,4790,3832
TRUE,DK10335,(BM-205) Drivaksel foran høyre,1633427548,,,90,PCE,15200000,63,2,680.4,,1900,1520
TRUE,DK10341,BM-1225 (BM225L) - Drivaksel,1633427549,,,90,PCE,,114,2,1231.2,,3299,2639.2
TRUE,DK10344,"Shaftec-(BM225R), GSP-(205134), ED-(BM-508)- Drivaksel",1633427550,,,90,PCE,,81,2,874.8,,3299,2639.2
TRUE,DK10345,(BM-102) - Drivaksel venstre,1633427551,,,90,PCE,,50,2,540,,1990,1592
TRUE,DK10348,(BM-107A) - Drivaksel,1633427552,,,90,PCE,,58,2,626.4,,2229,1783.2
TRUE,DK10350,(BM-302A ( BM-116A )- Drivaksel,1633427553,,,90,PCE,,74,2,799.2,,2290,1832
TRUE,DK10355,BM-504 -(BM-505) - Drivaksel,1633427554,,,90,PCE,,77,2,831.6,,4790,3832
TRUE,DK10363,(RN-104A1) - Drivaksel,1633427555,,,90,PCE,,40,2,432,,1200,960
TRUE,DK10366,(RN-101A) - Drivaksel,1633427556,,,90,PCE,,51,2,550.8,,1800,1440
TRUE,DK10368,RN-237A (rn-211a) - Drivaksel,1633427557,,,90,PCE,,63,2,680.4,,2299,1839.2
TRUE,DK10369,(RN-232) - Drivaksel,1633427558,,,90,PCE,,58,2,626.4,,2100,1680
TRUE,DK10371,(RN-224) - Drivaksel høyre,1633427559,,,90,PCE,,72,2,777.6,,2190,1752
TRUE,DK10383,(RN-110A1) - Drivaksel venstre,1633427560,,,90,PCE,,45,2,486,,1380,1104
TRUE,DK10388,(RN-139) - Drivaksel venstre,1633427561,,,90,PCE,,75,2,810,,2980,2384
TRUE,DK10391,(VW-241) - Drivaksel venstre,1633427562,,,90,PCE,,75,2,810,,2925,2340
TRUE,DK10395,(OP-111) - Drivaksel venstre,1633427563,,,90,PCE,,46,2,496.8,,1890,1512
TRUE,DK10396,(SA-601A) - Drivaksel,1633427564,,,90,PCE,,75,2,810,,2732,2185.6
TRUE,DK10397,(BM-604) - Drivaksel,1633427565,,,90,PCE,,110,2,1188,,3590,2872
TRUE,DK10405,(FD-175)-Drivaksel framaksel venstre,1633427566,,,90,PCE,27840000,82,2,885.6,,3480,2784
TRUE,DK10407,( FD-173A ) - Drivaksel venstre,1633427567,,,90,PCE,23200000,67,2,723.6,,2900,2320
TRUE,DK10408,(VW-281) - Drivaksel høyre,1633427568,,,90,PCE,,84,2,907.2,,2750,2200
TRUE,DK10410,(MB-203A) - Drivaksel høyre,1633427569,,,90,PCE,,68,2,734.4,,2922,2337.6
TRUE,DK10411,(CT-278) - Drivaksel høyre,1633427570,,,90,PCE,,62,2,669.6,,2250,1800
TRUE,DK10412,(OP-209A) - Drivaksel høyre,1633427571,,,90,PCE,,44,2,475.2,,1850,1480
TRUE,DK10413,PG-207 - Drivaksel saknar på hemsida,1633427572,,,90,PCE,,49,2,529.2,,,
TRUE,DK10414,(CT-237) - Drivaksel høyre,1633427573,,,90,PCE,,58,2,626.4,,1890,1512
TRUE,DK10415,(TO-120A) - Drivaksel venstre,1633427574,,,90,PCE,,91,2,982.8,,2640,2112
TRUE,DK10416,(AD-115A) - Drivaksel venstre,1633427575,,,90,PCE,,50,2,540,,1990,1592
TRUE,DK10417,"(TO-158) - Drivaksel, framaksel venstre",1633427576,,,90,PCE,25000000,63,2,680.4,,3125,2500
TRUE,DK10418,(FD-295) - Drivaksel høyre,1633427577,,,90,PCE,26880000,88,2,950.4,,3360,2688
TRUE,DK10419,Psvw02,1633427578,,,90,PCE,,294,2,3175.2,,5999,4799.2
TRUE,DK10420,PSVW01,1633427579,,,90,PCE,,249,2,2689.2,,5999,4799.2
TRUE,DK10425,PSBM03,1633427580,,,90,PCE,,102,2,1101.6,,4250,3400
TRUE,DK10426,PSMB03,1633427581,,,90,PCE,,301,2,3250.8,,7500,6000
TRUE,DK10432,KD-PSHO02,1633427582,,,90,PCE,,225,2,2430,,7890,6312
